,select rate,state_w_selected_ori,state_w_selected_aug,state_w_selected_mix,random_selected_ori,random_selected_aug,random_selected_mix,cov_selected_ori,cov_selected_aug,cov_selected_mix,bscov_selected_ori,bscov_selected_aug,bscov_selected_mix,btcov_selected_ori,btcov_selected_aug,btcov_selected_mix,sc_ctm_selected_ori,sc_ctm_selected_aug,sc_ctm_selected_mix,sc_cam_selected_ori,sc_cam_selected_aug,sc_cam_selected_mix,nc_ctm_selected_ori,nc_ctm_selected_aug,nc_ctm_selected_mix,nc_cam_selected_ori,nc_cam_selected_aug,nc_cam_selected_mix
0,1,98.41 (-0.19%),6.31,3.06,98.56 (-0.04%),4.68,2.32,98.63 (0.03%),5.72,2.88,98.56 (-0.04%),2.21,1.08,98.63 (0.03%),3.51,1.77,98.42 (-0.18%),3.09,1.45,98.48 (-0.12%),3.22,1.55,98.65 (0.05%),3.62,1.84,98.66 (0.06%),4.58,2.32
1,4,98.63 (0.03%),14.68,7.35,98.3 (-0.3%),10.07,4.88,98.66 (0.06%),12.9,6.48,98.49 (-0.11%),3.28,1.59,98.61 (0.01%),5.91,2.96,98.51 (-0.09%),5.46,2.68,98.8 (0.2%),9.93,5.07,98.67 (0.07%),6.34,3.2,98.43 (-0.17%),9.9,4.86
2,8,98.72 (0.12%),18.61,9.36,98.58 (-0.02%),12.71,6.34,98.54 (-0.06%),18.62,9.28,98.76 (0.16%),4.12,2.14,98.64 (0.04%),10.2,5.12,98.55 (-0.05%),6.16,3.06,98.36 (-0.24%),14.82,7.29,98.54 (-0.06%),8.11,4.03,98.58 (-0.02%),13.06,6.52
3,12,98.78 (0.18%),22.54,11.36,98.33 (-0.27%),14.85,7.29,98.62 (0.02%),18.36,9.19,98.65 (0.05%),6.49,3.27,98.7 (0.1%),8.74,4.42,98.41 (-0.19%),9.07,4.44,98.61 (0.01%),17.12,8.56,98.0 (-0.6%),14.53,6.96,98.76 (0.16%),15.9,8.03
4,16,98.68 (0.08%),24.28,12.18,98.55 (-0.05%),18.55,9.25,98.6 (0.0%),19.34,9.67,98.62 (0.02%),7.85,3.93,98.61 (0.01%),9.86,4.93,98.55 (-0.05%),9.1,4.52,98.74 (0.14%),19.7,9.92,98.59 (-0.01%),12.11,6.05,98.33 (-0.27%),16.5,8.11
5,20,98.65 (0.05%),25.32,12.69,98.53 (-0.07%),21.81,10.87,98.46 (-0.14%),22.74,11.3,98.63 (0.03%),12.16,6.09,98.82 (0.22%),11.95,6.08,98.64 (0.04%),11.2,5.62,98.44 (-0.16%),19.33,9.58,98.67 (0.07%),15.62,7.84,98.59 (-0.01%),22.66,11.32
