,select rate,state_w_selected_ori,state_w_selected_aug,state_w_selected_mix,random_selected_ori,random_selected_aug,random_selected_mix,cov_selected_ori,cov_selected_aug,cov_selected_mix,bscov_selected_ori,bscov_selected_aug,bscov_selected_mix,btcov_selected_ori,btcov_selected_aug,btcov_selected_mix,sc_ctm_selected_ori,sc_ctm_selected_aug,sc_ctm_selected_mix,sc_cam_selected_ori,sc_cam_selected_aug,sc_cam_selected_mix,nc_ctm_selected_ori,nc_ctm_selected_aug,nc_ctm_selected_mix,nc_cam_selected_ori,nc_cam_selected_aug,nc_cam_selected_mix
0,1,89.58 (0.18%),54.84 (2.31%),72.21 (1.25%),88.99 (-0.41%),53.94 (1.41%),71.46 (0.5%),89.32 (-0.08%),55.52 (2.99%),72.42 (1.46%),89.17 (-0.23%),53.39 (0.86%),71.28 (0.32%),89.39 (-0.01%),52.76 (0.23%),71.07 (0.11%),89.56 (0.16%),54.51 (1.98%),72.04 (1.07%),89.36 (-0.04%),53.19 (0.66%),71.28 (0.31%),89.28 (-0.12%),53.07 (0.54%),71.17 (0.21%),89.34 (-0.06%),53.69 (1.16%),71.51 (0.55%)
1,4,89.36 (-0.04%),58.19 (5.66%),73.77 (2.81%),89.81 (0.41%),57.58 (5.05%),73.69 (2.73%),89.38 (-0.02%),56.41 (3.88%),72.9 (1.93%),89.34 (-0.06%),53.69 (1.16%),71.51 (0.55%),89.65 (0.25%),53.7 (1.17%),71.68 (0.71%),89.2 (-0.2%),55.57 (3.04%),72.39 (1.42%),89.22 (-0.18%),55.62 (3.09%),72.42 (1.46%),89.64 (0.24%),56.24 (3.71%),72.94 (1.97%),89.63 (0.23%),57.74 (5.21%),73.69 (2.72%)
2,5,89.52 (0.12%),60.79 (8.26%),75.16 (4.19%),89.43 (0.03%),55.59 (3.06%),72.51 (1.55%),88.92 (-0.48%),56.52 (3.99%),72.72 (1.75%),89.06 (-0.34%),53.42 (0.89%),71.24 (0.28%),88.99 (-0.41%),56.05 (3.52%),72.52 (1.56%),89.03 (-0.37%),55.3 (2.77%),72.17 (1.2%),89.29 (-0.11%),58.39 (5.86%),73.84 (2.88%),88.63 (-0.77%),54.34 (1.81%),71.49 (0.52%),89.25 (-0.15%),57.15 (4.62%),73.2 (2.24%)
3,8,89.56 (0.16%),61.29 (8.76%),75.42 (4.46%),89.43 (0.03%),58.97 (6.44%),74.2 (3.24%),89.23 (-0.17%),58.55 (6.02%),73.89 (2.93%),89.4 (0.0%),56.7 (4.17%),73.05 (2.09%),89.42 (0.02%),53.87 (1.34%),71.64 (0.68%),89.16 (-0.24%),56.41 (3.88%),72.79 (1.82%),89.78 (0.38%),57.99 (5.46%),73.88 (2.92%),89.66 (0.26%),56.67 (4.14%),73.16 (2.2%),89.89 (0.49%),57.75 (5.22%),73.82 (2.86%)
4,10,89.38 (-0.02%),63.32 (10.79%),76.35 (5.38%),89.15 (-0.25%),59.47 (6.94%),74.31 (3.35%),89.66 (0.26%),59.51 (6.98%),74.59 (3.62%),89.2 (-0.2%),56.99 (4.46%),73.09 (2.13%),89.6 (0.2%),56.79 (4.26%),73.19 (2.23%),89.52 (0.12%),54.53 (2.0%),72.03 (1.06%),89.35 (-0.05%),59.27 (6.74%),74.31 (3.35%),89.3 (-0.1%),56.8 (4.27%),73.05 (2.09%),89.04 (-0.36%),58.44 (5.91%),73.74 (2.78%)
5,12,89.85 (0.45%),61.97 (9.44%),75.91 (4.95%),89.33 (-0.07%),59.58 (7.05%),74.45 (3.49%),89.09 (-0.31%),59.98 (7.45%),74.54 (3.57%),89.31 (-0.09%),58.28 (5.75%),73.8 (2.83%),89.13 (-0.27%),55.16 (2.63%),72.14 (1.18%),89.42 (0.02%),57.84 (5.31%),73.63 (2.67%),89.12 (-0.28%),59.59 (7.06%),74.36 (3.39%),89.23 (-0.17%),59.05 (6.52%),74.14 (3.18%),89.65 (0.25%),58.88 (6.35%),74.26 (3.3%)
6,15,89.88 (0.48%),63.92 (11.39%),76.9 (5.94%),89.14 (-0.26%),61.37 (8.84%),75.26 (4.29%),89.44 (0.04%),62.02 (9.49%),75.73 (4.77%),89.22 (-0.18%),57.7 (5.17%),73.46 (2.5%),89.28 (-0.12%),56.17 (3.64%),72.72 (1.76%),88.95 (-0.45%),56.26 (3.73%),72.61 (1.64%),89.45 (0.05%),60.8 (8.27%),75.13 (4.16%),89.41 (0.01%),59.43 (6.9%),74.42 (3.46%),89.47 (0.07%),59.92 (7.39%),74.69 (3.73%)
7,16,89.31 (-0.09%),64.95 (12.42%),77.13 (6.17%),89.54 (0.14%),59.98 (7.45%),74.76 (3.8%),89.21 (-0.19%),61.15 (8.62%),75.18 (4.22%),89.51 (0.11%),58.13 (5.6%),73.82 (2.86%),89.65 (0.25%),55.95 (3.42%),72.8 (1.84%),89.38 (-0.02%),56.84 (4.31%),73.11 (2.15%),89.33 (-0.07%),59.41 (6.88%),74.37 (3.41%),88.73 (-0.67%),57.66 (5.13%),73.19 (2.23%),89.46 (0.06%),60.98 (8.45%),75.22 (4.26%)
8,20,89.82 (0.42%),64.81 (12.28%),77.32 (6.35%),89.35 (-0.05%),63.12 (10.59%),76.24 (5.27%),89.88 (0.48%),62.28 (9.75%),76.08 (5.12%),89.7 (0.3%),55.97 (3.44%),72.83 (1.87%),89.43 (0.03%),58.75 (6.22%),74.09 (3.12%),90.04 (0.64%),58.26 (5.73%),74.15 (3.19%),89.42 (0.02%),61.79 (9.26%),75.6 (4.64%),89.42 (0.02%),60.0 (7.47%),74.71 (3.75%),89.94 (0.54%),62.19 (9.66%),76.06 (5.1%)
