,select rate,state_w_selected_ori,state_w_selected_aug,state_w_selected_mix,random_selected_ori,random_selected_aug,random_selected_mix,cov_selected_ori,cov_selected_aug,cov_selected_mix,bscov_selected_ori,bscov_selected_aug,bscov_selected_mix,btcov_selected_ori,btcov_selected_aug,btcov_selected_mix,sc_ctm_selected_ori,sc_ctm_selected_aug,sc_ctm_selected_mix,sc_cam_selected_ori,sc_cam_selected_aug,sc_cam_selected_mix,nc_ctm_selected_ori,nc_ctm_selected_aug,nc_ctm_selected_mix,nc_cam_selected_ori,nc_cam_selected_aug,nc_cam_selected_mix
0,1,98.74 (-0.06%),40.39 (5.34%),69.56 (2.64%),98.64 (-0.16%),34.69 (-0.36%),66.66 (-0.26%),98.38 (-0.42%),39.79 (4.74%),69.09 (2.16%),98.46 (-0.34%),36.15 (1.1%),67.3 (0.38%),98.62 (-0.18%),34.41 (-0.64%),66.51 (-0.41%),98.62 (-0.18%),37.38 (2.33%),68.0 (1.07%),98.21 (-0.59%),38.1 (3.05%),68.16 (1.23%),98.72 (-0.08%),37.66 (2.61%),68.19 (1.27%),98.55 (-0.25%),35.04 (-0.01%),66.79 (-0.13%)
1,4,98.62 (-0.18%),47.06 (12.01%),72.84 (5.91%),97.91 (-0.89%),37.86 (2.81%),67.88 (0.96%),98.63 (-0.17%),47.71 (12.66%),73.17 (6.24%),98.7 (-0.1%),35.56 (0.51%),67.13 (0.2%),98.45 (-0.35%),35.9 (0.85%),67.18 (0.25%),98.72 (-0.08%),40.06 (5.01%),69.39 (2.46%),98.48 (-0.32%),38.38 (3.33%),68.43 (1.5%),98.79 (-0.01%),42.22 (7.17%),70.5 (3.58%),98.48 (-0.32%),42.71 (7.66%),70.6 (3.67%)
2,5,98.72 (-0.08%),45.34 (10.29%),72.03 (5.11%),98.69 (-0.11%),43.51 (8.46%),71.1 (4.18%),98.91 (0.11%),49.31 (14.26%),74.11 (7.19%),98.66 (-0.14%),34.45 (-0.6%),66.55 (-0.37%),98.58 (-0.22%),36.46 (1.41%),67.52 (0.59%),98.67 (-0.13%),40.13 (5.08%),69.4 (2.47%),98.62 (-0.18%),43.5 (8.45%),71.06 (4.14%),98.53 (-0.27%),43.05 (8.0%),70.79 (3.86%),98.35 (-0.45%),45.68 (10.63%),72.01 (5.09%)
3,8,98.47 (-0.33%),50.46 (15.41%),74.47 (7.54%),98.72 (-0.08%),48.97 (13.92%),73.84 (6.92%),98.65 (-0.15%),52.11 (17.06%),75.38 (8.45%),98.72 (-0.08%),37.9 (2.85%),68.31 (1.38%),98.72 (-0.08%),36.38 (1.33%),67.55 (0.62%),98.88 (0.08%),41.96 (6.91%),70.42 (3.5%),98.39 (-0.41%),46.95 (11.9%),72.67 (5.74%),98.53 (-0.27%),45.66 (10.61%),72.1 (5.17%),98.8 (0.0%),49.55 (14.5%),74.18 (7.25%)
4,10,98.79 (-0.01%),52.32 (17.27%),75.56 (8.63%),98.51 (-0.29%),49.38 (14.33%),73.94 (7.02%),98.64 (-0.16%),54.55 (19.5%),76.6 (9.67%),98.79 (-0.01%),36.58 (1.53%),67.69 (0.76%),98.61 (-0.19%),39.24 (4.19%),68.92 (2.0%),98.54 (-0.26%),41.64 (6.59%),70.09 (3.17%),98.66 (-0.14%),51.05 (16.0%),74.85 (7.93%),98.68 (-0.12%),46.61 (11.56%),72.65 (5.72%),98.46 (-0.34%),44.54 (9.49%),71.5 (4.57%)
5,12,98.74 (-0.06%),54.07 (19.02%),76.41 (9.48%),98.58 (-0.22%),50.81 (15.76%),74.69 (7.77%),98.52 (-0.28%),54.06 (19.01%),76.29 (9.36%),98.54 (-0.26%),38.62 (3.57%),68.58 (1.66%),98.71 (-0.09%),42.36 (7.31%),70.53 (3.61%),98.64 (-0.16%),45.16 (10.11%),71.9 (4.97%),98.89 (0.09%),51.96 (16.91%),75.42 (8.5%),98.63 (-0.17%),48.24 (13.19%),73.44 (6.51%),98.71 (-0.09%),49.57 (14.52%),74.14 (7.21%)
6,15,98.64 (-0.16%),56.16 (21.11%),77.4 (10.47%),98.72 (-0.08%),50.8 (15.75%),74.76 (7.84%),98.46 (-0.34%),57.58 (22.53%),78.02 (11.09%),98.63 (-0.17%),39.13 (4.08%),68.88 (1.95%),98.59 (-0.21%),39.2 (4.15%),68.9 (1.97%),98.51 (-0.29%),45.83 (10.78%),72.17 (5.25%),98.79 (-0.01%),52.72 (17.67%),75.76 (8.83%),98.87 (0.07%),50.71 (15.66%),74.79 (7.86%),98.56 (-0.24%),52.59 (17.54%),75.58 (8.65%)
7,16,98.79 (-0.01%),57.33 (22.28%),78.06 (11.13%),98.74 (-0.06%),52.97 (17.92%),75.85 (8.93%),98.81 (0.01%),57.8 (22.75%),78.31 (11.38%),98.57 (-0.23%),40.66 (5.61%),69.62 (2.69%),98.65 (-0.15%),41.6 (6.55%),70.13 (3.2%),98.63 (-0.17%),47.57 (12.52%),73.1 (6.17%),98.76 (-0.04%),52.01 (16.96%),75.38 (8.46%),98.54 (-0.26%),51.99 (16.94%),75.27 (8.34%),98.55 (-0.25%),53.32 (18.27%),75.94 (9.01%)
8,20,98.85 (0.05%),59.91 (24.86%),79.38 (12.45%),98.67 (-0.13%),55.04 (19.99%),76.85 (9.93%),98.72 (-0.08%),59.61 (24.56%),79.16 (12.24%),98.74 (-0.06%),42.18 (7.13%),70.46 (3.53%),98.62 (-0.18%),43.17 (8.12%),70.89 (3.97%),98.58 (-0.22%),47.54 (12.49%),73.06 (6.13%),98.75 (-0.05%),54.55 (19.5%),76.65 (9.72%),98.78 (-0.02%),51.85 (16.8%),75.31 (8.39%),98.69 (-0.11%),57.74 (22.69%),78.21 (11.29%)
