,select rate,state_w_selected_ori,state_w_selected_aug,state_w_selected_mix,random_selected_ori,random_selected_aug,random_selected_mix,cov_selected_ori,cov_selected_aug,cov_selected_mix,bscov_selected_ori,bscov_selected_aug,bscov_selected_mix,btcov_selected_ori,btcov_selected_aug,btcov_selected_mix,sc_ctm_selected_ori,sc_ctm_selected_aug,sc_ctm_selected_mix,sc_cam_selected_ori,sc_cam_selected_aug,sc_cam_selected_mix,nc_ctm_selected_ori,nc_ctm_selected_aug,nc_ctm_selected_mix,nc_cam_selected_ori,nc_cam_selected_aug,nc_cam_selected_mix
0,1,98.41 (-0.19%),40.49 (6.31%),69.45 (3.06%),98.56 (-0.04%),38.86 (4.68%),68.71 (2.32%),98.63 (0.03%),39.9 (5.72%),69.27 (2.88%),98.56 (-0.04%),36.39 (2.21%),67.47 (1.08%),98.63 (0.03%),37.69 (3.51%),68.16 (1.77%),98.42 (-0.18%),37.27 (3.09%),67.84 (1.45%),98.48 (-0.12%),37.4 (3.22%),67.94 (1.55%),98.65 (0.05%),37.8 (3.62%),68.23 (1.84%),98.66 (0.06%),38.76 (4.58%),68.71 (2.32%)
1,4,98.63 (0.03%),48.86 (14.68%),73.75 (7.35%),98.3 (-0.3%),44.25 (10.07%),71.28 (4.88%),98.66 (0.06%),47.08 (12.9%),72.87 (6.48%),98.49 (-0.11%),37.46 (3.28%),67.98 (1.59%),98.61 (0.01%),40.09 (5.91%),69.35 (2.96%),98.51 (-0.09%),39.64 (5.46%),69.08 (2.68%),98.8 (0.2%),44.11 (9.93%),71.46 (5.07%),98.67 (0.07%),40.52 (6.34%),69.59 (3.2%),98.43 (-0.17%),44.08 (9.9%),71.25 (4.86%)
2,5,98.66 (0.06%),52.66 (18.48%),75.66 (9.27%),98.64 (0.04%),43.61 (9.43%),71.13 (4.73%),98.61 (0.01%),47.7 (13.52%),73.15 (6.76%),98.34 (-0.26%),37.13 (2.95%),67.73 (1.34%),98.62 (0.02%),41.51 (7.33%),70.06 (3.67%),98.57 (-0.03%),38.62 (4.44%),68.59 (2.2%),98.75 (0.15%),45.41 (11.23%),72.08 (5.69%),98.66 (0.06%),40.73 (6.55%),69.7 (3.31%),98.53 (-0.07%),44.13 (9.95%),71.33 (4.94%)
3,8,98.72 (0.12%),52.79 (18.61%),75.76 (9.36%),98.58 (-0.02%),46.89 (12.71%),72.73 (6.34%),98.54 (-0.06%),52.8 (18.62%),75.67 (9.28%),98.76 (0.16%),38.3 (4.12%),68.53 (2.14%),98.64 (0.04%),44.38 (10.2%),71.51 (5.12%),98.55 (-0.05%),40.34 (6.16%),69.45 (3.06%),98.36 (-0.24%),49.0 (14.82%),73.68 (7.29%),98.54 (-0.06%),42.29 (8.11%),70.42 (4.03%),98.58 (-0.02%),47.24 (13.06%),72.91 (6.52%)
4,10,98.34 (-0.26%),53.16 (18.98%),75.75 (9.36%),98.74 (0.14%),51.2 (17.02%),74.97 (8.58%),98.6 (0.0%),53.67 (19.49%),76.13 (9.74%),98.53 (-0.07%),39.59 (5.41%),69.06 (2.67%),98.7 (0.1%),41.68 (7.5%),70.19 (3.8%),98.69 (0.09%),43.49 (9.31%),71.09 (4.7%),98.54 (-0.06%),47.2 (13.02%),72.87 (6.48%),98.59 (-0.01%),44.65 (10.47%),71.62 (5.23%),98.15 (-0.45%),46.35 (12.17%),72.25 (5.86%)
5,12,98.78 (0.18%),56.72 (22.54%),77.75 (11.36%),98.33 (-0.27%),49.03 (14.85%),73.68 (7.29%),98.62 (0.02%),52.54 (18.36%),75.58 (9.19%),98.65 (0.05%),40.67 (6.49%),69.66 (3.27%),98.7 (0.1%),42.92 (8.74%),70.81 (4.42%),98.41 (-0.19%),43.25 (9.07%),70.83 (4.44%),98.61 (0.01%),51.3 (17.12%),74.95 (8.56%),98.0 (-0.6%),48.71 (14.53%),73.36 (6.96%),98.76 (0.16%),50.08 (15.9%),74.42 (8.03%)
6,15,98.62 (0.02%),58.55 (24.37%),78.58 (12.19%),98.81 (0.21%),53.69 (19.51%),76.25 (9.86%),98.47 (-0.13%),51.09 (16.91%),74.78 (8.39%),98.41 (-0.19%),40.02 (5.84%),69.21 (2.82%),98.5 (-0.1%),44.81 (10.63%),71.65 (5.26%),98.33 (-0.27%),44.72 (10.54%),71.53 (5.13%),98.27 (-0.33%),52.43 (18.25%),75.35 (8.96%),98.72 (0.12%),45.13 (10.95%),71.93 (5.54%),98.67 (0.07%),53.26 (19.08%),75.96 (9.57%)
7,16,98.68 (0.08%),58.46 (24.28%),78.57 (12.18%),98.55 (-0.05%),52.73 (18.55%),75.64 (9.25%),98.6 (0.0%),53.52 (19.34%),76.06 (9.67%),98.62 (0.02%),42.03 (7.85%),70.32 (3.93%),98.61 (0.01%),44.04 (9.86%),71.32 (4.93%),98.55 (-0.05%),43.28 (9.1%),70.92 (4.52%),98.74 (0.14%),53.88 (19.7%),76.31 (9.92%),98.59 (-0.01%),46.29 (12.11%),72.44 (6.05%),98.33 (-0.27%),50.68 (16.5%),74.51 (8.11%)
8,20,98.65 (0.05%),59.5 (25.32%),79.08 (12.69%),98.53 (-0.07%),55.99 (21.81%),77.26 (10.87%),98.46 (-0.14%),56.92 (22.74%),77.69 (11.3%),98.63 (0.03%),46.34 (12.16%),72.48 (6.09%),98.82 (0.22%),46.13 (11.95%),72.47 (6.08%),98.64 (0.04%),45.38 (11.2%),72.01 (5.62%),98.44 (-0.16%),53.51 (19.33%),75.98 (9.58%),98.67 (0.07%),49.8 (15.62%),74.23 (7.84%),98.59 (-0.01%),56.84 (22.66%),77.71 (11.32%)
