,state,random,RNNTestcov,Stellarbscov,Stellarbtcov,testRNNsc,testRNNsc_cam,nc_ctm,nc_cam
3,0.08160779537149818,0.028014616321559074,0.04263093788063337,0.0194884287454324,0.0194884287454324,0.02679658952496955,0.023142509135200974,0.020706455542021926,0.02679658952496955
4,0.10353227771010962,0.0438489646772229,0.05481120584652863,0.030450669914738125,0.025578562728380026,0.0389768574908648,0.0341047503045067,0.03532277710109622,0.04628501827040195
5,0.13398294762484775,0.05237515225334957,0.07429963459196103,0.03288672350791717,0.029232643118148598,0.05237515225334957,0.048721071863580996,0.04141291108404385,0.05115712545676005
6,0.1607795371498173,0.06455542021924482,0.09135200974421437,0.03654080389768575,0.037758830694275276,0.05602923264311815,0.06699147381242387,0.04506699147381242,0.06699147381242387
7,0.18879415347137637,0.05968331303288672,0.09987819732034105,0.04628501827040195,0.047503045066991476,0.057247259439707675,0.0535931790499391,0.05237515225334957,0.08038976857490865
8,0.220462850182704,0.0730816077953715,0.1071863580998782,0.05115712545676005,0.05602923264311815,0.06699147381242387,0.0828258221680877,0.06211936662606577,0.0828258221680877
9,0.24238733252131547,0.09013398294762484,0.11814859926918392,0.0535931790499391,0.06211936662606577,0.0779537149817296,0.0925700365408039,0.07551766138855055,0.09744214372716199
10,0.2630937880633374,0.0925700365408039,0.13032886723507917,0.05968331303288672,0.06942752740560293,0.08891595615103533,0.0876979293544458,0.08647990255785627,0.09744214372716199
11,0.2862362971985384,0.11449451887941535,0.13885505481120586,0.06577344701583435,0.07673568818514007,0.09987819732034105,0.10840438489646773,0.09500609013398295,0.10475030450669914
12,0.31303288672350793,0.11571254567600488,0.14981729598051158,0.07551766138855055,0.08647990255785627,0.10596833130328867,0.11693057247259439,0.10353227771010962,0.09987819732034105
13,0.3398294762484775,0.14372716199756394,0.15712545676004872,0.07551766138855055,0.09622411693057248,0.11814859926918392,0.11936662606577345,0.11571254567600488,0.12667478684531058
14,0.3629719853836784,0.15956151035322777,0.1705237515225335,0.08404384896467722,0.1023142509135201,0.1278928136419001,0.14494518879415347,0.12423873325213154,0.13398294762484775
15,0.3800243605359318,0.14738124238733252,0.1851400730816078,0.08891595615103533,0.1071863580998782,0.1364190012180268,0.1425091352009744,0.13398294762484775,0.1559074299634592
16,0.3946406820950061,0.17417783191230207,0.19488428745432398,0.09500609013398295,0.11084043848964677,0.14372716199756394,0.16808769792935443,0.14494518879415347,0.1510353227771011
17,0.4104750304506699,0.1607795371498173,0.2046285018270402,0.09987819732034105,0.11693057247259439,0.14981729598051158,0.15834348355663824,0.15956151035322777,0.17661388550548113
18,0.4299634591961023,0.19123020706455543,0.21559074299634592,0.1071863580998782,0.12667478684531058,0.1656516443361754,0.1668696711327649,0.17174177831912302,0.15347137637028013
19,0.44336175395858707,0.19853836784409257,0.22655298416565164,0.11571254567600488,0.13520097442143728,0.17783191230207065,0.1961023142509135,0.18392204628501826,0.1814859926918392
20,0.464068209500609,0.18879415347137637,0.2387332521315469,0.1218026796589525,0.14007308160779536,0.18270401948842874,0.2143727161997564,0.19244823386114496,0.18270401948842874
21,0.47868453105968334,0.21802679658952498,0.24847746650426308,0.12911084043848964,0.1510353227771011,0.19366626065773446,0.20828258221680876,0.1997563946406821,0.19244823386114496
22,0.4945188794153471,0.23020706455542023,0.25943970767356883,0.14007308160779536,0.15956151035322777,0.2046285018270402,0.23995127892813642,0.21193666260657734,0.21193666260657734
23,0.51278928136419,0.243605359317905,0.27161997563946405,0.14738124238733252,0.1668696711327649,0.21071863580998781,0.23386114494518878,0.21680876979293545,0.2241169305724726
24,0.5274056029232643,0.2387332521315469,0.28258221680876977,0.15468940316686966,0.18026796589524968,0.22168087697929353,0.23386114494518878,0.22655298416565164,0.2387332521315469
25,0.5444579780755177,0.25213154689403167,0.2971985383678441,0.15956151035322777,0.19123020706455543,0.2350791717417783,0.2728380024360536,0.2350791717417783,0.2582216808769793
26,0.561510353227771,0.27527405602923266,0.3105968331303289,0.1668696711327649,0.19853836784409257,0.24604141291108406,0.269183922046285,0.24238733252131547,0.26065773447015833
27,0.5688185140073082,0.28989037758830694,0.32034104750304504,0.17417783191230207,0.20706455542021923,0.2630937880633374,0.27040194884287455,0.2582216808769793,0.26065773447015833
28,0.5761266747868453,0.27161997563946405,0.3325213154689403,0.18270401948842874,0.21315468940316687,0.2728380024360536,0.2630937880633374,0.2618757612667479,0.30085261875761266
29,0.587088915956151,0.30572472594397077,0.34348355663824603,0.19244823386114496,0.22289890377588306,0.2838002436053593,0.2971985383678441,0.2728380024360536,0.26552984165651644
30,0.5943970767356882,0.30694275274056027,0.3520097442143727,0.1997563946406821,0.23386114494518878,0.2935444579780755,0.29598051157125455,0.28258221680876977,0.30450669914738127
31,0.6041412911084044,0.3325213154689403,0.37393422655298414,0.2046285018270402,0.2387332521315469,0.2984165651644336,0.31425091352009743,0.29476248477466505,0.29476248477466505
32,0.6151035322777101,0.3227771010962241,0.3800243605359318,0.21071863580998781,0.24847746650426308,0.3032886723507917,0.3325213154689403,0.30085261875761266,0.31425091352009743
33,0.6211936662606578,0.31425091352009743,0.38246041412911086,0.21559074299634592,0.25334957369062117,0.31790499390986604,0.34957369062119364,0.3118148599269184,0.3447015834348356
34,0.6321559074299634,0.3373934226552984,0.3861144945188794,0.22168087697929353,0.26431181485992694,0.3227771010962241,0.3471376370280146,0.3264311814859927,0.3337393422655298
35,0.6467722289890377,0.364190012180268,0.40682095006090135,0.23020706455542023,0.2728380024360536,0.3276492082825822,0.33008526187576126,0.3398294762484775,0.3690621193666261
36,0.656516443361754,0.35322777101096225,0.4104750304506699,0.24604141291108406,0.2801461632155907,0.3313032886723508,0.36784409257003653,0.3520097442143727,0.3459196102314251
37,0.6662606577344702,0.3848964677222899,0.41291108404384896,0.2557856272838002,0.2874543239951279,0.34226552984165654,0.3459196102314251,0.364190012180268,0.3447015834348356
38,0.6772228989037758,0.3702801461632156,0.4397076735688185,0.26065773447015833,0.29598051157125455,0.3507917174177832,0.364190012180268,0.37393422655298414,0.364190012180268
39,0.6845310596833131,0.38855054811205847,0.4445797807551766,0.26431181485992694,0.30694275274056027,0.36053593179049936,0.3873325213154689,0.37880633373934225,0.3982947624847747
