,state,random,RNNTestcov,Stellarbscov,Stellarbtcov,testRNNsc,testRNNsc_cam,nc_ctm,nc_cam
35,0.5418307086614174,0.33513779527559057,0.40403543307086615,0.1624015748031496,0.21653543307086615,0.23031496062992127,0.3469488188976378,0.1294291338582677,0.35039370078740156
36,0.5546259842519685,0.3577755905511811,0.43061023622047245,0.16683070866141733,0.2234251968503937,0.23818897637795275,0.36958661417322836,0.13582677165354332,0.358759842519685
37,0.5615157480314961,0.3720472440944882,0.422244094488189,0.17125984251968504,0.22736220472440946,0.2440944881889764,0.36811023622047245,0.140748031496063,0.3572834645669291
38,0.5698818897637795,0.3882874015748031,0.4311023622047244,0.17765748031496062,0.2357283464566929,0.25049212598425197,0.3813976377952756,0.14616141732283464,0.3828740157480315
39,0.577263779527559,0.38631889763779526,0.4315944881889764,0.18405511811023623,0.2421259842519685,0.2588582677165354,0.3873031496062992,0.15059055118110237,0.3986220472440945
40,0.5856299212598425,0.41338582677165353,0.4630905511811024,0.19242125984251968,0.24950787401574803,0.266240157480315,0.390748031496063,0.15994094488188976,0.39763779527559057
41,0.593996062992126,0.4104330708661417,0.45570866141732286,0.19881889763779528,0.25688976377952755,0.27460629921259844,0.4153543307086614,0.1687992125984252,0.42618110236220474
42,0.6008858267716536,0.4281496062992126,0.46505905511811024,0.2047244094488189,0.2632874015748031,0.28346456692913385,0.41781496062992124,0.17913385826771652,0.41633858267716534
43,0.6087598425196851,0.4409448818897638,0.4793307086614173,0.20964566929133857,0.2691929133858268,0.29232283464566927,0.43356299212598426,0.1875,0.4242125984251969
44,0.6166338582677166,0.43700787401574803,0.49753937007874016,0.21653543307086615,0.2750984251968504,0.3016732283464567,0.43700787401574803,0.19586614173228348,0.44143700787401574
45,0.6259842519685039,0.45866141732283466,0.5034448818897638,0.22391732283464566,0.28198818897637795,0.3090551181102362,0.4419291338582677,0.203248031496063,0.4512795275590551
46,0.6333661417322834,0.4675196850393701,0.5034448818897638,0.23080708661417323,0.29133858267716534,0.32086614173228345,0.4719488188976378,0.21013779527559054,0.4675196850393701
47,0.640748031496063,0.4670275590551181,0.5142716535433071,0.23868110236220472,0.29576771653543305,0.3302165354330709,0.4822834645669291,0.21948818897637795,0.45570866141732286
48,0.6505905511811023,0.4808070866141732,0.5260826771653543,0.2455708661417323,0.3006889763779528,0.34005905511811024,0.4793307086614173,0.22785433070866143,0.4729330708661417
49,0.6584645669291339,0.4911417322834646,0.5354330708661418,0.2549212598425197,0.3090551181102362,0.3494094488188976,0.4876968503937008,0.24114173228346455,0.4763779527559055
50,0.6668307086614174,0.5,0.5442913385826772,0.2632874015748031,0.3184055118110236,0.3562992125984252,0.5093503937007874,0.2514763779527559,0.49901574803149606
51,0.672244094488189,0.5191929133858267,0.5452755905511811,0.2687007874015748,0.32677165354330706,0.3671259842519685,0.5024606299212598,0.2588582677165354,0.5118110236220472
52,0.6751968503937008,0.5250984251968503,0.5565944881889764,0.27755905511811024,0.33366141732283466,0.37746062992125984,0.531496062992126,0.26968503937007876,0.5098425196850394
53,0.6820866141732284,0.515748031496063,0.5688976377952756,0.28789370078740156,0.3390748031496063,0.38779527559055116,0.5285433070866141,0.281496062992126,0.546751968503937
54,0.6894685039370079,0.5364173228346457,0.5738188976377953,0.29822834645669294,0.3494094488188976,0.39517716535433073,0.5457677165354331,0.2918307086614173,0.5462598425196851
55,0.6953740157480315,0.5492125984251969,0.5807086614173228,0.3075787401574803,0.359251968503937,0.406003937007874,0.5378937007874016,0.3051181102362205,0.5437992125984252
56,0.702263779527559,0.5693897637795275,0.6062992125984252,0.3198818897637795,0.3690944881889764,0.41486220472440943,0.5600393700787402,0.3174212598425197,0.5743110236220472
57,0.7096456692913385,0.5649606299212598,0.610236220472441,0.3312007874015748,0.3735236220472441,0.42913385826771655,0.5757874015748031,0.3316929133858268,0.5713582677165354
58,0.7150590551181102,0.5723425196850394,0.6156496062992126,0.34596456692913385,0.3828740157480315,0.4389763779527559,0.5954724409448819,0.34301181102362205,0.5767716535433071
59,0.7204724409448819,0.5866141732283464,0.6363188976377953,0.35826771653543305,0.3927165354330709,0.4483267716535433,0.5900590551181102,0.3558070866141732,0.5831692913385826
60,0.7278543307086615,0.5989173228346457,0.6294291338582677,0.3676181102362205,0.39960629921259844,0.4596456692913386,0.610236220472441,0.3735236220472441,0.6043307086614174
61,0.734251968503937,0.6186023622047244,0.656003937007874,0.37746062992125984,0.41141732283464566,0.4675196850393701,0.6171259842519685,0.38336614173228345,0.609744094488189
62,0.7401574803149606,0.6072834645669292,0.6456692913385826,0.391240157480315,0.42076771653543305,0.47834645669291337,0.6235236220472441,0.3941929133858268,0.6190944881889764
63,0.7475393700787402,0.6294291338582677,0.6471456692913385,0.406496062992126,0.4311023622047244,0.4911417322834646,0.6318897637795275,0.406496062992126,0.639763779527559
64,0.750492125984252,0.6368110236220472,0.65748031496063,0.4202755905511811,0.4404527559055118,0.5019685039370079,0.6279527559055118,0.4202755905511811,0.6377952755905512
65,0.7559055118110236,0.6589566929133859,0.671751968503937,0.4345472440944882,0.45177165354330706,0.515748031496063,0.6387795275590551,0.43651574803149606,0.639763779527559
66,0.7623031496062992,0.6589566929133859,0.6943897637795275,0.4424212598425197,0.46013779527559057,0.5270669291338582,0.6624015748031497,0.45226377952755903,0.6545275590551181
67,0.7677165354330708,0.671751968503937,0.6958661417322834,0.4562007874015748,0.4670275590551181,0.5388779527559056,0.6742125984251969,0.4640748031496063,0.6796259842519685
68,0.7755905511811023,0.6732283464566929,0.71751968503937,0.4660433070866142,0.48179133858267714,0.5497047244094488,0.6776574803149606,0.4827755905511811,0.6653543307086615
69,0.7829724409448819,0.6904527559055118,0.7057086614173228,0.4793307086614173,0.4950787401574803,0.562007874015748,0.7002952755905512,0.4985236220472441,0.7116141732283464
70,0.7878937007874016,0.6973425196850394,0.7239173228346457,0.4896653543307087,0.5059055118110236,0.5684055118110236,0.6924212598425197,0.515748031496063,0.7052165354330708
71,0.7928149606299213,0.7101377952755905,0.7204724409448819,0.5024606299212598,0.5172244094488189,0.5762795275590551,0.7062007874015748,0.531988188976378,0.7150590551181102
72,0.8016732283464567,0.7106299212598425,0.7431102362204725,0.514763779527559,0.5295275590551181,0.5871062992125984,0.7244094488188977,0.5487204724409449,0.7288385826771654
