,state,random,RNNTestcov,Stellarbscov,Stellarbtcov,testRNNsc,testRNNsc_cam,nc_ctm,nc_cam,gini
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.025974025974025976,0.0,0.021645021645021644,0.008658008658008658,0.017316017316017316,0.0,0.004329004329004329,0.004329004329004329,0.021645021645021644,0.06493506493506493
2,0.06060606060606061,0.008658008658008658,0.025974025974025976,0.012987012987012988,0.030303030303030304,0.017316017316017316,0.021645021645021644,0.017316017316017316,0.030303030303030304,0.12121212121212122
3,0.07792207792207792,0.012987012987012988,0.03896103896103896,0.017316017316017316,0.05194805194805195,0.021645021645021644,0.030303030303030304,0.017316017316017316,0.03463203463203463,0.1645021645021645
4,0.09523809523809523,0.05627705627705628,0.047619047619047616,0.03463203463203463,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.017316017316017316,0.047619047619047616,0.19913419913419914
5,0.12554112554112554,0.047619047619047616,0.05627705627705628,0.04329004329004329,0.0735930735930736,0.030303030303030304,0.05194805194805195,0.030303030303030304,0.05627705627705628,0.2554112554112554
6,0.14285714285714285,0.03896103896103896,0.07792207792207792,0.06060606060606061,0.09956709956709957,0.05194805194805195,0.09090909090909091,0.04329004329004329,0.06060606060606061,0.2857142857142857
7,0.16883116883116883,0.0735930735930736,0.07792207792207792,0.06493506493506493,0.1038961038961039,0.05194805194805195,0.08225108225108226,0.047619047619047616,0.07792207792207792,0.3116883116883117
8,0.19047619047619047,0.09523809523809523,0.08225108225108226,0.0735930735930736,0.11255411255411256,0.06060606060606061,0.1038961038961039,0.05627705627705628,0.07792207792207792,0.3593073593073593
9,0.2077922077922078,0.09523809523809523,0.09090909090909091,0.07792207792207792,0.11688311688311688,0.06926406926406926,0.10822510822510822,0.06060606060606061,0.13852813852813853,0.39826839826839827
10,0.21212121212121213,0.12554112554112554,0.12121212121212122,0.09956709956709957,0.12121212121212122,0.08225108225108226,0.09523809523809523,0.06493506493506493,0.09956709956709957,0.45021645021645024
11,0.23809523809523808,0.1038961038961039,0.10822510822510822,0.11255411255411256,0.1341991341991342,0.1038961038961039,0.1038961038961039,0.08225108225108226,0.11255411255411256,0.5021645021645021
12,0.26406926406926406,0.08225108225108226,0.12554112554112554,0.11688311688311688,0.1471861471861472,0.11255411255411256,0.11255411255411256,0.09090909090909091,0.09956709956709957,0.5194805194805194
