,state,random,RNNTestcov,Stellarbscov,Stellarbtcov,testRNNsc,testRNNsc_cam,nc_ctm,nc_cam,gini
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.043859649122807015,0.013157894736842105,0.0,0.0,0.0,0.0043859649122807015,0.008771929824561403,0.013157894736842105,0.013157894736842105,0.06578947368421052
2,0.06578947368421052,0.013157894736842105,0.008771929824561403,0.0,0.0,0.013157894736842105,0.02631578947368421,0.013157894736842105,0.021929824561403508,0.12719298245614036
3,0.08771929824561403,0.017543859649122806,0.017543859649122806,0.0,0.0,0.017543859649122806,0.02631578947368421,0.02631578947368421,0.021929824561403508,0.17543859649122806
4,0.11842105263157894,0.05701754385964912,0.03070175438596491,0.0,0.0,0.02631578947368421,0.039473684210526314,0.03070175438596491,0.03070175438596491,0.2324561403508772
5,0.14473684210526316,0.03070175438596491,0.039473684210526314,0.0,0.0,0.039473684210526314,0.06140350877192982,0.039473684210526314,0.03070175438596491,0.2807017543859649
6,0.17105263157894737,0.05701754385964912,0.039473684210526314,0.0043859649122807015,0.0,0.05701754385964912,0.06578947368421052,0.05263157894736842,0.04824561403508772,0.32456140350877194
7,0.18859649122807018,0.07894736842105263,0.06140350877192982,0.0043859649122807015,0.0,0.06140350877192982,0.09649122807017543,0.06578947368421052,0.04824561403508772,0.36403508771929827
8,0.20614035087719298,0.10964912280701754,0.05701754385964912,0.0043859649122807015,0.02631578947368421,0.07017543859649122,0.04824561403508772,0.08771929824561403,0.07456140350877193,0.41228070175438597
9,0.21929824561403508,0.10087719298245613,0.07894736842105263,0.02631578947368421,0.02631578947368421,0.08333333333333333,0.10087719298245613,0.10964912280701754,0.07017543859649122,0.4473684210526316
10,0.2631578947368421,0.10087719298245613,0.09649122807017543,0.02631578947368421,0.039473684210526314,0.10526315789473684,0.15789473684210525,0.12719298245614036,0.12719298245614036,0.4780701754385965
11,0.27631578947368424,0.14473684210526316,0.07894736842105263,0.03508771929824561,0.05263157894736842,0.11842105263157894,0.10087719298245613,0.14035087719298245,0.10964912280701754,0.5087719298245614
12,0.3157894736842105,0.13596491228070176,0.10087719298245613,0.043859649122807015,0.05701754385964912,0.14035087719298245,0.08333333333333333,0.14473684210526316,0.14035087719298245,0.5570175438596491
13,0.33771929824561403,0.13157894736842105,0.11403508771929824,0.05263157894736842,0.06578947368421052,0.15350877192982457,0.14473684210526316,0.16666666666666666,0.12280701754385964,0.5789473684210527
14,0.36403508771929827,0.15350877192982457,0.15350877192982457,0.05701754385964912,0.06578947368421052,0.17543859649122806,0.18421052631578946,0.17105263157894737,0.11842105263157894,0.6096491228070176
15,0.38596491228070173,0.12719298245614036,0.16228070175438597,0.07017543859649122,0.08333333333333333,0.18421052631578946,0.18421052631578946,0.17105263157894737,0.15350877192982457,0.6491228070175439
16,0.40350877192982454,0.14473684210526316,0.17105263157894737,0.09210526315789473,0.09649122807017543,0.19298245614035087,0.14035087719298245,0.17982456140350878,0.18421052631578946,0.6754385964912281
17,0.4298245614035088,0.2149122807017544,0.13596491228070176,0.09649122807017543,0.10526315789473684,0.20175438596491227,0.16666666666666666,0.17982456140350878,0.13157894736842105,0.6929824561403509
