,state_w10,state_w20,state_w50,random10,random20,random50,RNNTestcov10,RNNTestcov20,RNNTestcov50,Stellarbscov10,Stellarbscov20,Stellarbscov50,Stellarbtcov10,Stellarbtcov20,Stellarbtcov50,testRNNsc10,testRNNsc20,testRNNsc50,testRNNsc_cam10,testRNNsc_cam20,testRNNsc_cam50,nc_ctm10,nc_ctm20,nc_ctm50,nc_cam10,nc_cam20,nc_cam50
0,0.5916666666666667,0.5441666666666667,0.38166666666666665,0.295,0.315,0.30666666666666664,0.415,0.3616666666666667,0.3243333333333333,0.31333333333333335,0.29833333333333334,0.283,0.29333333333333333,0.24333333333333335,0.268,0.31333333333333335,0.3075,0.29733333333333334,0.31333333333333335,0.30916666666666665,0.306,0.2833333333333333,0.26916666666666667,0.275,0.33,0.31,0.312
1,0.625,0.5566666666666666,0.3963333333333333,0.30666666666666664,0.32916666666666666,0.3273333333333333,0.43333333333333335,0.38083333333333336,0.33466666666666667,0.295,0.305,0.285,0.30666666666666664,0.2425,0.2786666666666667,0.31666666666666665,0.31583333333333335,0.30666666666666664,0.32666666666666666,0.32666666666666666,0.32033333333333336,0.31666666666666665,0.3025,0.28833333333333333,0.3416666666666667,0.32666666666666666,0.31933333333333336
2,0.6333333333333333,0.5766666666666667,0.391,0.33166666666666667,0.3233333333333333,0.31133333333333335,0.375,0.35,0.3333333333333333,0.285,0.29333333333333333,0.279,0.25666666666666665,0.2425,0.2693333333333333,0.33,0.30833333333333335,0.294,0.32666666666666666,0.3175,0.319,0.33666666666666667,0.315,0.28633333333333333,0.31833333333333336,0.3233333333333333,0.30266666666666664
3,0.5966666666666667,0.5541666666666667,0.39466666666666667,0.2833333333333333,0.3075,0.31966666666666665,0.4216666666666667,0.35,0.3253333333333333,0.305,0.29333333333333333,0.2826666666666667,0.2783333333333333,0.235,0.2733333333333333,0.29,0.2991666666666667,0.2926666666666667,0.33666666666666667,0.3016666666666667,0.309,0.295,0.30416666666666664,0.29233333333333333,0.29,0.31583333333333335,0.31166666666666665
4,0.6233333333333333,0.5633333333333334,0.4036666666666667,0.32,0.325,0.318,0.4066666666666667,0.3625,0.32866666666666666,0.325,0.30416666666666664,0.2916666666666667,0.305,0.255,0.2783333333333333,0.31166666666666665,0.3125,0.3006666666666667,0.3283333333333333,0.2975,0.31333333333333335,0.34,0.31166666666666665,0.29,0.32166666666666666,0.3425,0.316
5,0.605,0.5608333333333333,0.39566666666666667,0.3283333333333333,0.325,0.31366666666666665,0.41,0.3675,0.3253333333333333,0.29333333333333333,0.28,0.286,0.265,0.23,0.26966666666666667,0.3333333333333333,0.31666666666666665,0.3006666666666667,0.3016666666666667,0.32666666666666666,0.311,0.31,0.29083333333333333,0.2796666666666667,0.2783333333333333,0.32,0.30533333333333335
6,0.5683333333333334,0.5491666666666667,0.39866666666666667,0.32666666666666666,0.31166666666666665,0.32566666666666666,0.44666666666666666,0.37083333333333335,0.33666666666666667,0.31666666666666665,0.31583333333333335,0.2936666666666667,0.305,0.26166666666666666,0.2786666666666667,0.28833333333333333,0.29833333333333334,0.29433333333333334,0.31333333333333335,0.32666666666666666,0.3263333333333333,0.32666666666666666,0.2875,0.2813333333333333,0.3333333333333333,0.30833333333333335,0.321
7,0.6033333333333334,0.5558333333333333,0.393,0.31333333333333335,0.31583333333333335,0.314,0.4083333333333333,0.375,0.325,0.295,0.305,0.2853333333333333,0.30333333333333334,0.245,0.26866666666666666,0.2833333333333333,0.2775,0.29,0.31,0.33666666666666667,0.31233333333333335,0.33,0.31083333333333335,0.2763333333333333,0.35333333333333333,0.32,0.32166666666666666
8,0.6016666666666667,0.5383333333333333,0.3923333333333333,0.32666666666666666,0.30333333333333334,0.32366666666666666,0.39166666666666666,0.36666666666666664,0.324,0.295,0.30333333333333334,0.2786666666666667,0.2816666666666667,0.24,0.27366666666666667,0.31333333333333335,0.31083333333333335,0.30733333333333335,0.325,0.325,0.3243333333333333,0.30833333333333335,0.29333333333333333,0.2793333333333333,0.335,0.31083333333333335,0.32766666666666666
9,0.59,0.5391666666666667,0.38566666666666666,0.2916666666666667,0.31416666666666665,0.31533333333333335,0.41333333333333333,0.3675,0.326,0.29833333333333334,0.305,0.2856666666666667,0.30666666666666664,0.24833333333333332,0.283,0.30333333333333334,0.31333333333333335,0.296,0.33666666666666667,0.31,0.32366666666666666,0.32666666666666666,0.30583333333333335,0.2773333333333333,0.30333333333333334,0.3,0.32066666666666666
