,state_w10,state_w20,state_w50,random10,random20,random50,RNNTestcov10,RNNTestcov20,RNNTestcov50,Stellarbscov10,Stellarbscov20,Stellarbscov50,Stellarbtcov10,Stellarbtcov20,Stellarbtcov50,testRNNsc10,testRNNsc20,testRNNsc50,testRNNsc_cam10,testRNNsc_cam20,testRNNsc_cam50,nc_ctm10,nc_ctm20,nc_ctm50,nc_cam10,nc_cam20,nc_cam50
0,0.6016666666666667,0.5508333333333333,0.376,0.3233333333333333,0.3225,0.311,0.475,0.3958333333333333,0.3353333333333333,0.21833333333333332,0.21916666666666668,0.26,0.25333333333333335,0.24166666666666667,0.27466666666666667,0.22333333333333333,0.23,0.25333333333333335,0.3233333333333333,0.31166666666666665,0.3273333333333333,0.22166666666666668,0.25333333333333335,0.27266666666666667,0.315,0.31416666666666665,0.32566666666666666
1,0.6066666666666667,0.5566666666666666,0.37533333333333335,0.3283333333333333,0.3383333333333333,0.3283333333333333,0.46166666666666667,0.3925,0.3446666666666667,0.18833333333333332,0.21583333333333332,0.25433333333333336,0.25166666666666665,0.255,0.2663333333333333,0.23666666666666666,0.23416666666666666,0.26166666666666666,0.315,0.315,0.32166666666666666,0.23,0.25333333333333335,0.28733333333333333,0.31,0.35083333333333333,0.317
2,0.6066666666666667,0.5683333333333334,0.38766666666666666,0.345,0.3416666666666667,0.31333333333333335,0.46,0.3933333333333333,0.3436666666666667,0.20166666666666666,0.2125,0.267,0.25666666666666665,0.2675,0.2796666666666667,0.20666666666666667,0.22666666666666666,0.25533333333333336,0.35,0.31416666666666665,0.323,0.21333333333333335,0.2425,0.2753333333333333,0.30666666666666664,0.315,0.33366666666666667
3,0.595,0.5691666666666667,0.38166666666666665,0.32166666666666666,0.3016666666666667,0.30966666666666665,0.43666666666666665,0.37833333333333335,0.3293333333333333,0.23333333333333334,0.21083333333333334,0.25933333333333336,0.25,0.2608333333333333,0.2653333333333333,0.2,0.21,0.252,0.3333333333333333,0.32666666666666666,0.31666666666666665,0.21333333333333335,0.25083333333333335,0.27566666666666667,0.3016666666666667,0.3225,0.323
4,0.585,0.5608333333333333,0.378,0.325,0.3283333333333333,0.31666666666666665,0.4766666666666667,0.4033333333333333,0.3373333333333333,0.2,0.215,0.26366666666666666,0.24333333333333335,0.25,0.2713333333333333,0.23166666666666666,0.2375,0.263,0.3233333333333333,0.33,0.32466666666666666,0.24,0.255,0.278,0.3283333333333333,0.3233333333333333,0.31166666666666665
5,0.5916666666666667,0.5233333333333333,0.36733333333333335,0.3333333333333333,0.30916666666666665,0.3283333333333333,0.45166666666666666,0.3933333333333333,0.3416666666666667,0.21166666666666667,0.22166666666666668,0.255,0.22666666666666666,0.24083333333333334,0.26166666666666666,0.20666666666666667,0.2175,0.25166666666666665,0.3433333333333333,0.3125,0.30033333333333334,0.215,0.23833333333333334,0.274,0.30333333333333334,0.31583333333333335,0.327
6,0.6183333333333333,0.5616666666666666,0.381,0.2866666666666667,0.31,0.318,0.4816666666666667,0.3975,0.33466666666666667,0.225,0.2425,0.2773333333333333,0.26666666666666666,0.26416666666666666,0.2796666666666667,0.22,0.22916666666666666,0.25466666666666665,0.33,0.3308333333333333,0.3243333333333333,0.24,0.25833333333333336,0.2793333333333333,0.34833333333333333,0.34,0.32233333333333336
7,0.5783333333333334,0.5416666666666666,0.37633333333333335,0.32,0.30833333333333335,0.3233333333333333,0.44,0.37333333333333335,0.3323333333333333,0.23166666666666666,0.22583333333333333,0.26666666666666666,0.255,0.25833333333333336,0.27366666666666667,0.22,0.21916666666666668,0.24733333333333332,0.31666666666666665,0.30583333333333335,0.31066666666666665,0.20166666666666666,0.24166666666666667,0.27466666666666667,0.34833333333333333,0.30916666666666665,0.32066666666666666
8,0.5966666666666667,0.5608333333333333,0.38533333333333336,0.33166666666666667,0.3233333333333333,0.31766666666666665,0.44166666666666665,0.38666666666666666,0.33666666666666667,0.225,0.2275,0.27066666666666667,0.27,0.2658333333333333,0.2796666666666667,0.23666666666666666,0.23,0.25733333333333336,0.36333333333333334,0.31833333333333336,0.32166666666666666,0.19833333333333333,0.23833333333333334,0.28,0.28,0.33,0.33166666666666667
9,0.6066666666666667,0.5466666666666666,0.37566666666666665,0.36666666666666664,0.31416666666666665,0.31733333333333336,0.475,0.39916666666666667,0.335,0.23,0.23583333333333334,0.26566666666666666,0.2733333333333333,0.26416666666666666,0.27566666666666667,0.20666666666666667,0.22583333333333333,0.25433333333333336,0.3,0.3258333333333333,0.31466666666666665,0.23166666666666666,0.24666666666666667,0.272,0.2966666666666667,0.3233333333333333,0.32166666666666666
